top - 22:07:21 up  4:28,  1 user,  load average: 1,49, 1,38, 1,69
Tareas: 447 total,   1 ejecutar,  445 hibernar,    0 detener,    1 zombie
%Cpu(s):  0,7 us,  2,6 sy,  2,2 ni, 94,0 id,  0,0 wa,  0,0 hi,  0,4 si,  0,0 st
MiB Mem :  64208,6 total,   2651,6 libre,   4995,4 usado,  56561,6 búfer/caché
MiB Intercambio:  20479,5 total,  17860,0 libre,   2619,5 usado.  54766,8 dispon Mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
   1099 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/124-iwlwifi:queue_6
   1100 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/125-iwlwifi:queue_7
   1101 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/126-iwlwifi:queue_8
   1102 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/127-iwlwifi:queue_9
   1103 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/128-iwlwifi:queue_+
   1104 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/129-iwlwifi:queue_+
   1105 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/130-iwlwifi:queue_+
   1106 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/131-iwlwifi:queue_+
   1107 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/132-iwlwifi:queue_+
   1108 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/133-iwlwifi:except+
   1150 systemd+  32  12   26756   8428   7936 S   0,0   0,0   0:06.24 systemd-resolve
   1297 message+  32  12   10352   3584   3584 S   0,0   0,0   0:00.02 dbus-broker-lau
   1318 message+  20   0   10476   4520   2432 S   0,0   0,0   0:00.85 dbus-broker
   1319 root      32  12  271884  15564  13772 S   0,0   0,0   0:00.51 NetworkManager
   1325 root      20   0  250912   7668   6644 S   0,0   0,0   0:00.48 accounts-daemon
   1326 root      32  12    2816   1920   1792 S   0,0   0,0   0:00.17 acpid
   1328 avahi     32  12    7744   3456   3200 S   0,0   0,0   0:00.56 avahi-daemon
   1330 root      32  12   10680   4480   4224 S   0,0   0,0   0:00.04 bluetoothd
   1331 root      32  12   86332   3584   3456 S   0,0   0,0   0:04.45 system76-power
   1333 root      32  12   84296   5656   4736 S   0,0   0,0   0:00.58 system76-schedu
   1334 root      32  12   19300   2816   2688 S   0,0   0,0   0:00.02 cron
   1339 root      32  12   50964   8448   8448 S   0,0   0,0   0:00.06 networkd-dispat
   1340 root      32  12  237032   9164   6844 S   0,0   0,0   0:01.11 polkitd
   1344 syslog    32  12  222436   4096   3456 S   0,0   0,0   0:01.02 rsyslogd
   1348 root      32  12   11896   4608   4352 S   0,0   0,0   0:00.01 smartd
   1356 root      32  12 2354400  12036   4992 S   0,0   0,0   0:00.80 snapd
   1358 root      32  12  246416   6784   6272 S   0,0   0,0   0:00.01 switcheroo-cont
   1366 root      32  12   48292   6324   5504 S   0,0   0,0   0:00.13 systemd-logind
   1371 root      32  12  332560  11264  11264 S   0,0   0,0   0:09.39 touchegg
   1372 root      32  12  397052  10732   9324 S   0,0   0,0   0:01.04 udisksd
   1373 root      32  12   16536   4224   4224 S   0,0   0,0   0:00.02 wpa_supplicant
   1379 avahi     32  12    7476   1536   1280 S   0,0   0,0   0:00.00 avahi-daemon
   1394 root      32  12  244268   6952   6696 S   0,0   0,0   0:00.05 ModemManager
   1415 root      32  12  252288   7680   7424 S   0,0   0,0   0:00.05 upowerd
   1471 root      32  12  283468   8460   7108 S   0,0   0,0   0:02.11 execsnoop-bpfcc
   1529 root      20   0 2685400  11100   4224 S   0,0   0,0   0:16.76 containerd
   1566 _chrony   20   0   18896   2972   2688 S   0,0   0,0   0:00.10 chronyd
